Subdirectory	RGPU
e85935ed-a033-4920-a179-259e7b15ac06	Run0256_AC53WMACXX_L8
a68b78f5-db45-4e33-b0c7-c17e6bc67d94	Run0231_AC3NBVACXX_L7
a66283c0-64e8-4eff-9c1e-b3c938390505	Run0247_BC4972ACXX_L2
f3bf545c-53fb-4c00-b554-876a5f919808	Run0196_AC23BRACXX_L5
e3c2141d-2087-4f69-b16d-266d7cd3aa10	Run0248_AC4D43ACXX_L7
4d9d0a88-1a9d-4a93-b847-869860c6e9e2	Run0247_BC4972ACXX_L4
37779231-4148-423f-9186-84420bd03ace	Run0215_BC2NRKACXX_L7
95771a85-5ed6-44b6-b996-d832b6626fd4	Run0253_BC4H6AACXX_L5
7c2ef09d-514b-44eb-b0ce-f23a71b4d738	Run0256_AC53WMACXX_L7
e90fba80-753e-4ae2-b68e-10c3574cb651	Run0246_AC48UDACXX_L4
fc5de60c-7c59-4325-9a76-4148ac07c9ad	Run0223_BC3JDHACXX_L2
d6865853-cbb0-4b23-9cce-bff631e059b2	Run0253_BC4H6AACXX_L2
17dd2902-72ec-4bf7-9cbf-f525522489cd	Run0257_BC53U3ACXX_L2
506dbebc-b721-48af-a152-ce2e9292ed16	Run0246_AC48UDACXX_L4
dd9fdfbb-8562-43ab-86d8-2302a1beb5a9	Run0246_AC48UDACXX_L5
a14b5ef9-ad18-4638-a3d7-272058db212a	Run0208_AC2LDDACXX_L3
40b04735-7065-4f3b-be18-ad202159257c	Run0224_AC3JF3ACXX_L3
edffb868-7fa8-4cef-a2a3-147ace616909	Run0290_AC699YACXX_L2
cf0d41e6-92d3-4824-99ae-4189bc69a90e	Run0256_AC53WMACXX_L7
ac593fcf-5948-4b11-ba78-74a901f3d43f	Run0248_AC4D43ACXX_L3
095e85c4-d6ab-4753-b15e-71e90ed32ae2	Run0290_AC699YACXX_L3
a922b1c5-5bb4-456f-8a5e-e9033dbc4692	Run0231_AC3NBVACXX_L6
9ca57313-33d4-4b31-b340-5b28e9f1091b	Run0253_BC4H6AACXX_L4
b8ed70ee-7a93-4468-a0ae-db50833ade45	Run0231_AC3NBVACXX_L6
afcb9b9f-4fe2-451b-b807-b15d0190e65a	Run0248_AC4D43ACXX_L5
664fe40c-f6ee-4e3e-925f-738a147fc54b	Run0292_AC699LACXX_L3
a8f43e20-38a3-4901-9545-8670584328c6	Run0257_BC53U3ACXX_L7
233f4ce1-9073-46d0-a053-f36e77036f00	Run0246_AC48UDACXX_L4
881359f9-63a2-40fe-ae20-b41f03d48040	Run0343_AC87WGACXX_L5
f72b5280-805e-4d13-9d7a-f3f91e593c0e	Run0248_AC4D43ACXX_L2
a8f3321e-40e7-4dba-b2ac-30659f43e525	Run0246_AC48UDACXX_L5
a152ba95-63d1-4f4b-9497-e4f20512cde5	Run0229_BC3N7TACXX_L2
6a8688b8-9b05-4f24-aba1-3243dc230afd	Run0224_AC3JF3ACXX_L1
e374972e-f96d-450f-a77c-188b36033323	Run0253_BC4H6AACXX_L8
67a52a30-677b-4081-a8cf-ce504d0bc66b	Run0253_BC4H6AACXX_L5
958e5f86-4459-4087-b063-30fa9386442c	Run0248_AC4D43ACXX_L3
5cd87771-6469-413b-b41e-caf9f6b84dec	Run0343_AC87WGACXX_L4
c3cc2565-3783-45d1-8b0f-ef35eb3e78fe	Run0253_BC4H6AACXX_L3
c782fdb7-c2f5-4364-9665-c3650156032a	Run0232_AC3NWRACXX_L7
7e15f1c9-4488-495d-a409-dca37dc8f079	Run0208_AC2LDDACXX_L3
9555a465-c503-4dc0-93a5-3add9874bfb1	Run0248_AC4D43ACXX_L4
35d4f091-dc5f-440e-868b-ed7b4bec6b91	Run0223_BC3JDHACXX_L2
d0cab5c5-8b2d-4e72-af16-d8027fee043c	Run0290_AC699YACXX_L5
32f9d664-670b-4909-b7ec-180de5cd588e	Run0246_AC48UDACXX_L6
3308a767-28f6-4df2-b76f-8d9ff6d1efc7	Run0247_BC4972ACXX_L7
b13465de-6499-4298-acbc-5e2ef5467f59	Run0229_BC3N7TACXX_L2
6a039d9c-84e6-436e-a9e9-bc3bf9d2b486	Run0247_BC4972ACXX_L7
4d753356-7362-4dc5-a711-e328d0b9ac74	Run0246_AC48UDACXX_L5
687906df-5129-420a-8224-5c159e67c04f	Run0290_AC699YACXX_L3
0b70d04c-2be0-4806-9144-2e4a365eda8f	Run0248_AC4D43ACXX_L7
18ba1e12-23d0-4cec-8f78-f092bf071577	Run0215_BC2NRKACXX_L7
67ea2cf2-6327-46b2-b412-26f2d3406ea0	Run0257_BC53U3ACXX_L2
dc625f3f-0481-4547-9b9c-4059043d3a36	Run0248_AC4D43ACXX_L3
89f4d924-275e-4cc1-bef4-1735385d660a	Run0202_AC2KPCACXX_L5
e977745a-ddf3-4922-a10e-c14df2b8515f	Run0292_AC699LACXX_L3
21481f51-5938-4888-94da-3845b1d4953a	Run0247_BC4972ACXX_L5
8020dd7a-cafa-4215-ab3f-d850e4b414be	Run0247_BC4972ACXX_L7
45e95c87-1bc0-43ac-8021-3f3311f04ab4	Run0248_AC4D43ACXX_L2
ad20e8d1-ad0f-4d02-99cc-4ec6c22d7975	Run0224_AC3JF3ACXX_L1
973e3b73-ecc6-4398-81a4-3ff3024cbf6e	Run0253_BC4H6AACXX_L2
e488dd40-5ac7-47f3-95bb-11f4955b5b59	Run0231_AC3NBVACXX_L8
9d6825a7-177d-4708-8f6a-bfc078d3cd03	Run0202_AC2KPCACXX_L5
36905586-5d1f-4eba-b4e1-e5ff65635976	Run0257_BC53U3ACXX_L6
fb27eab1-e670-4572-b57a-f1540f1ae9a1	Run0223_BC3JDHACXX_L2
05ed18fd-8a4a-411c-aae1-8802a3a89dc6	Run0253_BC4H6AACXX_L1
b77aa2a1-f908-4979-9d68-f8a9c5102740	Run0248_AC4D43ACXX_L2
