folder_name	file_fastq	file_bam	RGID	RGLB	RGPL	RGSM	RGDS1	RGDS2	RGPU
79bd8483-b140-4a28-8c1a-294dea20fbfa	E5.42.3337.fastq.gz	E5.42.3337.step1.Aligned.sortedByCoord.out.bam	E5.42.3337	E5.42.3337	illumina	E5.42	Smart-seq2	embryonic-cell-metazoa	Run0292_AC699LACXX_L3
41670d29-0a12-4943-9c66-0cdca39d1df1	E5.7.689.fastq.gz	E5.7.689.step1.Aligned.sortedByCoord.out.bam	E5.7.689	E5.7.689	illumina	E5.7	Smart-seq2	embryonic-cell-metazoa	Run0246_AC48UDACXX_L4
099d6c37-f1ba-4da3-8d50-632c7f26b5d5	E7.8.333.fastq.gz	E7.8.333.step1.Aligned.sortedByCoord.out.bam	E7.8.333	E7.8.333	illumina	E7.8	Smart-seq2	embryonic-cell-metazoa	Run0224_AC3JF3ACXX_L5
55fd157e-e6b9-4fd4-bd08-91320d2715e9	E4.2.10.fastq.gz	E4.2.10.step1.Aligned.sortedByCoord.out.bam	E4.2.10	E4.2.10	illumina	E4.2	Smart-seq2	embryonic-cell-metazoa	Run0202_AC2KPCACXX_L5
0420317d-f252-4be5-bb0b-c4e1a3b84086	E7.17.1351.fastq.gz	E7.17.1351.step1.Aligned.sortedByCoord.out.bam	E7.17.1351	E7.17.1351	illumina	E7.17	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L2
c6185997-56b9-4823-a4d6-a2e012b3bb86	E7.7.282.fastq.gz	E7.7.282.step1.Aligned.sortedByCoord.out.bam	E7.7.282	E7.7.282	illumina	E7.7	Smart-seq2	embryonic-cell-metazoa	Run0224_AC3JF3ACXX_L2
7a530e03-0b98-4e74-beb3-a3659020e02e	E5.1.26.fastq.gz	E5.1.26.step1.Aligned.sortedByCoord.out.bam	E5.1.26	E5.1.26	illumina	E5.1	Smart-seq2	embryonic-cell-metazoa	Run0202_AC2KPCACXX_L5
ca00fc9c-c9b2-4314-9acd-663301df2d83	E7.4.204.fastq.gz	E7.4.204.step1.Aligned.sortedByCoord.out.bam	E7.4.204	E7.4.204	illumina	E7.4	Smart-seq2	embryonic-cell-metazoa	Run0221_BC3H8JACXX_L6
0b58e5b4-7fa6-498b-b2ed-ade979efbc7f	E7.17.1323.fastq.gz	E7.17.1323.step1.Aligned.sortedByCoord.out.bam	E7.17.1323	E7.17.1323	illumina	E7.17	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L1
eecbfcf5-40a8-4bdb-a706-0901fa2d7699	E5.43.3353.fastq.gz	E5.43.3353.step1.Aligned.sortedByCoord.out.bam	E5.43.3353	E5.43.3353	illumina	E5.43	Smart-seq2	embryonic-cell-metazoa	Run0292_AC699LACXX_L4
94a81a79-1dd6-40db-b09a-86ed05d581ba	E5.42.3336.fastq.gz	E5.42.3336.step1.Aligned.sortedByCoord.out.bam	E5.42.3336	E5.42.3336	illumina	E5.42	Smart-seq2	embryonic-cell-metazoa	Run0292_AC699LACXX_L3
08ef5236-fe3c-435f-acb2-c03989eec3ae	E5.7.681.fastq.gz	E5.7.681.step1.Aligned.sortedByCoord.out.bam	E5.7.681	E5.7.681	illumina	E5.7	Smart-seq2	embryonic-cell-metazoa	Run0246_AC48UDACXX_L4
f6c24f36-f4f2-44a4-a3d4-7d986cc11f60	E6.13.1400.fastq.gz	E6.13.1400.step1.Aligned.sortedByCoord.out.bam	E6.13.1400	E6.13.1400	illumina	E6.13	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L3
255f28fb-f308-4241-9edd-c2063c4e0b4f	E4.7.646.fastq.gz	E4.7.646.step1.Aligned.sortedByCoord.out.bam	E4.7.646	E4.7.646	illumina	E4.7	Smart-seq2	embryonic-cell-metazoa	Run0232_AC3NWRACXX_L7
a0bef372-d524-498f-91b9-444a325f6a0d	E7.19.1544.fastq.gz	E7.19.1544.step1.Aligned.sortedByCoord.out.bam	E7.19.1544	E7.19.1544	illumina	E7.19	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L6
e60d423f-19d8-462c-8ef3-c9a178b2c61e	E5.10.948.fastq.gz	E5.10.948.step1.Aligned.sortedByCoord.out.bam	E5.10.948	E5.10.948	illumina	E5.10	Smart-seq2	inner-cell-mass-cell	Run0247_BC4972ACXX_L8
405f67ea-5ce7-4280-b28d-e3e1d19e57ce	E5.7.677.fastq.gz	E5.7.677.step1.Aligned.sortedByCoord.out.bam	E5.7.677	E5.7.677	illumina	E5.7	Smart-seq2	embryonic-cell-metazoa	Run0246_AC48UDACXX_L4
0935f87a-a85d-4d5a-92ec-84ec74dea8b7	E5.41.3316.fastq.gz	E5.41.3316.step1.Aligned.sortedByCoord.out.bam	E5.41.3316	E5.41.3316	illumina	E5.41	Smart-seq2	inner-cell-mass-cell	Run0292_AC699LACXX_L3
