folder_name	RGID	RGLB	RGPL	RGDS1	RGDS2	RGSM	RGPU
28945c62-6540-4319-bf4e-494488987960	SRR11798370	SRR11798370_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD020N	NS500624:136:HCKW3BGX2:1
6187649e-58e2-4eb6-9d2e-bdd03aec61f1	SRR11798400	SRR11798400_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:3
0e43b5fe-89ee-4c48-b838-8d77ec70122a	SRR11798284	SRR11798284_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_33	K00208:YAP064:1
5f5be8fd-5c25-4ba9-85a5-34393f4a5089	SRR11798343	SRR11798343_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:1
996efbc8-a246-4c49-9fd7-aa51612694ee	SRR11798297	SRR11798297_LB	ILLUMINA	10X3v2	NovaSeq6000	cc04p	A00319:14:H7HTLDMXX:1
f445da66-6c6a-43f3-9496-45c8b4c9ca98	SRR11798287	SRR11798287_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_36	K00208:YAP064:1
c603522a-bb50-4613-a3bd-b7b4a6308919	SRR11798293	SRR11798293_LB	ILLUMINA	10X3v2	NovaSeq6000	cc04p	A00319:14:H7HTLDMXX:1
4692e81f-12c5-46f9-979e-3a0004925ba2	SRR11798416	SRR11798416_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:3
718a5f80-2d23-44d9-8a66-098f0c8a0619	SRR11798336	SRR11798336_LB	ILLUMINA	10X3v2	NovaSeq6000	KKCFFT32N	A00319:12:H57GGDMXX:2
c9ad4a19-caa9-4f5b-a1ab-118fa9bac910	SRR11798419	SRR11798419_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:2
ac2748a8-7464-45d6-9995-0cf943f216a9	SRR11798326	SRR11798326_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:14:H7HTLDMXX:2
9d2565e8-24fb-4378-9a06-5644553929cc	SRR11798468	SRR11798468_LB	ILLUMINA	10X3v2	NextSeq500	DD046_ALI	NB502093:21:H33YWBGX5:3
5b574326-3656-46ec-9df6-a77003fcbdb4	SRR11798338	SRR11798338_LB	ILLUMINA	10X3v2	NovaSeq6000	KKCFFT32N	A00319:12:H57GGDMXX:2
49403063-3660-407d-a3bb-e8dc2d7edb0a	SRR11798321	SRR11798321_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:15:H7K3FDMXX:2
20bb384b-fed1-4182-97d0-ed49a40311df	SRR11798325	SRR11798325_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:14:H7HTLDMXX:1
697a4909-a25b-486f-9b63-674a61d0eb6f	SRR11798374	SRR11798374_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD020N	NS500624:136:HCKW3BGX2:1
1f919faf-bbda-45eb-9712-48b2349a02c1	SRR11798482	SRR11798482_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_18	K00208:YBP040:1
e9074013-07a3-45c9-939e-9efd3edaebab	SRR11798302	SRR11798302_LB	ILLUMINA	10X3v2	NovaSeq6000	dd09p	A00284:36:H77CHDSXX:1
7f4b33e2-e530-4b28-ab3b-44f153a500a4	SRR11798418	SRR11798418_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:1
1e9f957b-21db-461d-9f89-5856ff39e9ef	SRR11798341	SRR11798341_LB	ILLUMINA	10X3v2	NovaSeq6000	KKCFFT32N	A00319:12:H57GGDMXX:1
9c1cd9d8-630d-4cd2-815e-0f5cb3fe4e18	SRR11798359	SRR11798359_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD020N	NS500624:136:HCKW3BGX2:1
da0f5353-a66c-45b2-98e5-024d80b6d713	SRR11798481	SRR11798481_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_13	K00208:YBP040:1
9a90e594-4732-4d35-b806-71b69af74edf	SRR11798342	SRR11798342_LB	ILLUMINA	10X3v2	NovaSeq6000	KKCFFT32N	A00319:12:H57GGDMXX:2
04e60dba-990e-4231-ad0b-3ae038910e11	SRR11798313	SRR11798313_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:3
b211a221-d0f6-4edd-b42e-655d3e717404	SRR11798322	SRR11798322_LB	ILLUMINA	10X3v2	NovaSeq6000	dd49p	A00319:15:H7K3FDMXX:2
71d24a3c-e4ca-49ef-be72-ac71c4840a57	SRR11798350	SRR11798350_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:4
eb46a2b1-62b7-4c7a-801f-b062c59773d2	SRR11798346	SRR11798346_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:4
f71722b6-3a84-4321-bd73-a475192d94a5	SRR11798399	SRR11798399_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:2
3bc66179-c7eb-43e6-bab9-0f8b4e19921e	SRR11798348	SRR11798348_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:2
231e0a4a-9920-4e6f-8d42-cf21a254385f	SRR11798436	SRR11798436_LB	ILLUMINA	10X3v2	NextSeq500	ND16737	NB502093:40:HFKT3BGX9:2
22b28e7c-9373-460a-aec0-8cdb6122e4f6	SRR11798396	SRR11798396_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:2
7f9f347f-1706-4293-8afc-230dfed9ed0b	SRR11798347	SRR11798347_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD019N	NS500624:134:HFFV2BGX2:1
bdcaafe2-3d35-4c90-9594-0bcb2976a815	SRR11798425	SRR11798425_LB	ILLUMINA	10X3v2	NextSeq500	ND15989	NB502093:33:H32JKBGX5:3
5876c3c8-0403-407f-8521-d6ff3177e073	SRR11798441	SRR11798441_LB	ILLUMINA	10X3v2	NextSeq500	ND15656	NB502093:30:HMKHFBGX7:3
b3938256-6557-4209-a481-638e08e3513c	SRR11798305	SRR11798305_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:2
33ae7787-7c07-41c4-b634-958f4115116f	SRR11798423	SRR11798423_LB	ILLUMINA	10X3v2	NextSeq500	ND15989	NB502093:33:H32JKBGX5:1
bde2379b-2c71-4c82-b770-42010cdea9af	SRR11798410	SRR11798410_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:4
f1763e48-e24b-4a7e-83b8-fdfc59a7b5e8	SRR11798431	SRR11798431_LB	ILLUMINA	10X3v2	NextSeq500	CF301018	NB502093:35:H32FGBGX5:1
efe01f9b-1505-407a-9e11-26a87b281fd9	SRR11798383	SRR11798383_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:2
bdcc78cc-d43a-4592-a393-aa3fc35a4f07	SRR11798392	SRR11798392_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:2
f1d46289-3d11-442b-aa10-e1848c3bba9e	SRR11798278	SRR11798278_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_24	K00208:YBP053:2
92fe6a98-8e1e-427d-b550-0c5022a0b00e	SRR11798377	SRR11798377_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:3
b3ab2475-fdf4-49f2-890a-e39d04c07e24	SRR11798485	SRR11798485_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_21	K00208:YAP064:1
711f85bb-4345-42df-ab79-20ca0e4cb014	SRR11798448	SRR11798448_LB	ILLUMINA	10X3v2	NextSeq500	ND15989_ALI	NB502093:35:H32FGBGX5:2
b42c5be2-b4cb-4834-b5e0-b0b1074a99d8	SRR11798474	SRR11798474_LB	ILLUMINA	10X3v2	NextSeq500	ND16932_ALI	NB502093:54:HC2KNBGXB:4
ecef474c-48fb-47d7-9386-f57b93a915e5	SRR11798306	SRR11798306_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:3
05ec792e-8bb4-4f4b-bb4e-ab670133f471	SRR11798454	SRR11798454_LB	ILLUMINA	10X3v2	NextSeq500	ND15656_ALI	NB502093:33:H32JKBGX5:4
7cc1b862-43ba-45e3-80ff-92104de1aaff	SRR11798461	SRR11798461_LB	ILLUMINA	10X3v2	NextSeq500	DD046_ALI	NB502093:22:H3F5NBGX5:3
468d80af-9c33-4ab7-b435-5a2e49638d6d	SRR11798315	SRR11798315_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:1
6a5020bc-3abe-45a5-b1f2-abeacf8aa643	SRR11798390	SRR11798390_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD022N	NS500624:148:HVN2MBGX2:1
